n,baseline_ms,offline_ms,online_ms,nlogn,n2,nsqrtn
10,59.0256,1.22853,0.849733,33.2193,100,31.6228
20,131.238,1.79497,1.1205,86.4386,400,89.4427
30,266.774,1.7368,1.6407,147.207,900,164.317
40,374.73,1.94553,2.97167,212.877,1600,252.982
50,550.285,2.80193,4.45237,282.193,2500,353.553
60,716.099,2.95913,6.47293,354.413,3600,464.758
70,902.622,3.0247,8.3773,429.05,4900,585.662
80,1131.12,3.32127,11.4523,505.754,6400,715.542
90,1401.59,3.4291,15.0911,584.267,8100,853.815
100,1858.82,5.30047,28.5337,664.386,10000,1000
110,2336.06,4.18217,25.5163,745.95,12100,1153.69
120,2490.85,4.79903,30.4833,828.827,14400,1314.53
130,2949.65,5.63167,35.9662,912.908,16900,1482.23
140,3989,5.9083,52.7107,998.1,19600,1656.5
150,3693.14,6.25417,48.9242,1084.32,22500,1837.12
160,3970.21,6.44657,54.2478,1171.51,25600,2023.86
170,4150.04,8.27403,58.8234,1259.6,28900,2216.53
180,4687.29,8.26777,64.7912,1348.53,32400,2414.95
190,5278.99,9.28907,73.0127,1438.27,36100,2618.97
200,6292.1,10.3931,105.958,1528.77,40000,2828.43
210,5842.61,10.7784,91.0055,1619.99,44100,3043.19
220,7432.19,13.3488,112.339,1711.9,48400,3263.13
230,7078.77,12.7048,111.678,1804.46,52900,3488.12
240,7821.96,14.39,126.261,1897.65,57600,3718.06
250,8559.09,15.0382,136.999,1991.45,62500,3952.85
260,8829.72,16.1765,145.916,2085.82,67600,4192.37
270,9718.21,16.6643,161.864,2180.74,72900,4436.55
280,10257.2,18.554,174.422,2276.2,78400,4685.3
290,11016.1,18.8593,190.422,2372.17,84100,4938.52
300,11892.9,20.8799,212.709,2468.65,90000,5196.15
310,12718.2,22.8972,222.528,2565.6,96100,5458.11
320,12433.4,22.6451,223.44,2663.02,102400,5724.33
330,12176.1,23.029,228.995,2760.89,108900,5994.75
340,13036.6,22.5588,235.644,2859.19,115600,6269.29
350,13703.2,23.9463,249.482,2957.92,122500,6547.9
360,13925.5,26.0602,258.908,3057.07,129600,6830.52
370,14768.9,26.892,270.895,3156.61,136900,7117.09
380,16335.5,29.7335,316.985,3256.55,144400,7407.56
390,17979.9,30.9823,335.794,3356.86,152100,7701.88
400,18041.1,33.4487,342.332,3457.54,160000,8000
410,20031.6,34.6042,381.522,3558.59,168100,8301.87
420,20900.4,35.7586,407.217,3659.98,176400,8607.44
430,23020.2,41.2894,425.984,3761.72,184900,8916.67
440,23022,39.3077,455.67,3863.8,193600,9229.52
450,23157.3,46.7493,468.222,3966.2,202500,9545.94
460,26913.8,50.8894,579.869,4068.93,211600,9865.9
470,27738.1,51.4446,530.658,4171.96,220900,10189.4
480,26599.1,51.5746,536.158,4275.31,230400,10516.3
490,26573.7,50.3803,538.276,4378.95,240100,10846.6
500,35415.7,64.9802,695.251,4482.89,250000,11180.3
